,Agent_Commerce($),Agent_Commerce(#),Agent_Catering($),Agent_Catering(#),Agent_Health($),Agent_Health(#),Agent_Recreation($),Agent_Recreation(#),Agent_Transport($),Agent_Transport(#),Agent_Hotel($),Agent_Hotel(#),Agent_RealState($),Agent_RealState(#)
34,14400,144,0,0,0,0,0,0,14109,143,6395,65,0,0
35,21100,211,0,0,0,0,0,0,20416,207,9737,99,0,0
36,28898,289,0,0,0,0,0,0,26611,270,13070,133,0,0
37,35982,360,0,0,0,0,0,0,33493,340,15901,162,0,0
38,43055,431,0,0,0,0,0,0,40160,408,19516,199,0,0
39,53378,535,0,0,0,0,0,0,49172,500,23715,242,0,0
40,64950,652,0,0,0,0,0,0,58668,597,29086,297,0,0
41,75603,760,400,4,0,0,0,0,67629,689,33756,345,0,0
42,86909,875,1200,12,0,0,0,0,77078,786,38314,392,0,0
43,100855,1017,2400,24,0,0,0,0,87982,898,44145,452,0,0
44,115236,1164,4900,49,0,0,0,0,101429,1036,50173,514,0,0
45,128404,1299,8500,85,0,0,0,0,113271,1158,56561,580,0,0
46,142798,1447,15000,150,0,0,0,0,124886,1278,62657,643,0,0
47,156470,1588,23500,235,0,0,0,0,135220,1385,68541,704,0,0
48,170010,1728,38100,381,0,0,0,0,148347,1521,73825,759,0,0
49,183519,1868,53300,533,0,0,0,0,160181,1644,80169,825,0,0
50,197076,2009,74700,747,0,0,0,0,171507,1762,85916,885,0,0
51,210905,2153,100500,1005,0,0,0,0,183080,1883,91272,941,0,0
52,223647,2286,124900,1249,0,0,0,0,195707,2015,97958,1011,0,0
53,238364,2440,150800,1508,0,0,0,0,206661,2130,103184,1066,0,0
54,250483,2567,181300,1813,0,0,0,0,218485,2254,109381,1131,0,0
55,263405,2703,211400,2114,0,0,0,0,230073,2376,115353,1194,0,0
56,276422,2840,241800,2418,0,0,0,0,241830,2500,121231,1256,0,0
57,288059,2963,264400,2644,0,0,0,0,252703,2615,127009,1317,0,0
58,299502,3084,290100,2901,0,0,0,0,264245,2737,133052,1381,0,0
59,309873,3194,310400,3104,0,0,0,0,276332,2865,138623,1440,0,0
60,321668,3319,331200,3312,0,0,0,0,288315,2992,144647,1504,0,0
61,331421,3423,369600,3696,0,0,0,0,297779,3092,148617,1546,0,0
62,338908,3503,381600,3816,0,0,0,0,304512,3164,152776,1590,0,0
63,346589,3585,392600,3926,0,0,0,0,312681,3251,157596,1641,0,0
64,353949,3664,400600,4006,0,0,0,0,320833,3338,161841,1686,0,0
65,361476,3744,432000,4320,0,0,0,0,326594,3399,164864,1718,0,0
66,369309,3827,437100,4371,0,0,0,0,331963,3456,167496,1746,0,0
67,375962,3898,441400,4414,0,0,0,0,337129,3511,170225,1775,0,0
68,382623,3969,444800,4448,0,0,0,0,342301,3566,172754,1802,0,0
69,387261,4018,472300,4723,0,0,0,0,345702,3602,173815,1813,0,0
70,395129,4101,473400,4734,0,0,0,0,348446,3631,175269,1828,0,0
71,398408,4136,474300,4743,0,0,0,0,350609,3654,176818,1844,0,0
72,401723,4171,475200,4752,0,0,0,0,353246,3682,178074,1857,0,0
73,404573,4201,499000,4990,0,0,0,0,354021,3690,178364,1860,0,0
74,407455,4231,499200,4992,0,0,0,0,354021,3690,178364,1860,0,0
75,409284,4250,499300,4993,0,0,0,0,354021,3690,178364,1860,0,0
76,410633,4264,499600,4996,0,0,0,0,354021,3690,178364,1860,0,0
77,411886,4277,499600,4996,0,0,100,1,354021,3690,178364,1860,0,0
78,412659,4285,499700,4997,0,0,100,1,354021,3690,178364,1860,0,0
79,412853,4287,499700,4997,0,0,100,1,354021,3690,178364,1860,0,0
80,413045,4289,499700,4997,0,0,100,1,354021,3690,178364,1860,0,0
81,413141,4290,499800,4998,0,0,200,2,354021,3690,178364,1860,0,0
82,413141,4290,499800,4998,0,0,400,4,354021,3690,178364,1860,0,0
83,413141,4290,499800,4998,0,0,700,7,354021,3690,178364,1860,0,0
84,413141,4290,499900,4999,0,0,1000,10,354021,3690,178364,1860,0,0
85,413141,4290,500000,5000,0,0,1400,14,354021,3690,178364,1860,0,0
86,413141,4290,500000,5000,0,0,2000,20,354021,3690,178364,1860,0,0
87,413141,4290,500100,5001,0,0,2200,22,354021,3690,178364,1860,0,0
88,413141,4290,500500,5005,0,0,2700,27,354021,3690,178364,1860,0,0
89,413141,4290,500800,5008,0,0,3400,34,354021,3690,178364,1860,0,0
90,413141,4290,500900,5009,0,0,4400,44,354021,3690,178364,1860,0,0
91,413141,4290,502200,5022,0,0,5600,56,354021,3690,178364,1860,0,0
92,413141,4290,503400,5034,0,0,6900,69,354021,3690,178364,1860,0,0
93,413141,4290,504000,5040,0,0,8800,88,354021,3690,178364,1860,0,0
94,413141,4290,506500,5065,0,0,10600,106,354021,3690,178364,1860,0,0
95,413141,4290,509400,5094,0,0,13100,131,354021,3690,178364,1860,0,0
96,413141,4290,514200,5142,0,0,14800,148,354021,3690,178364,1860,0,0
97,413141,4290,519700,5197,0,0,17700,177,354021,3690,178364,1860,0,0
98,413141,4290,522100,5221,0,0,17700,177,354021,3690,178364,1860,0,0
99,413141,4290,525900,5259,0,0,17700,177,354021,3690,178364,1860,0,0
100,413141,4290,529400,5294,0,0,17700,177,354021,3690,178364,1860,0,0
101,413141,4290,534800,5348,0,0,17700,177,354021,3690,178364,1860,0,0
102,413141,4290,540100,5401,0,0,17700,177,354021,3690,178364,1860,0,0
103,413141,4290,544600,5446,0,0,17700,177,354021,3690,178364,1860,0,0
104,413141,4290,552900,5529,0,0,17700,177,354021,3690,178364,1860,0,0
105,413141,4290,562400,5624,0,0,17700,177,354021,3690,178364,1860,0,0
106,413141,4290,570000,5700,0,0,17700,177,354021,3690,178364,1860,0,0
107,413141,4290,578300,5783,0,0,17700,177,354021,3690,178364,1860,0,0
108,413141,4290,586600,5866,0,0,17700,177,354021,3690,178364,1860,0,0
109,413141,4290,592700,5927,0,0,17700,177,354021,3690,178364,1860,0,0
110,413141,4290,598700,5987,0,0,17700,177,354021,3690,178364,1860,0,0
111,413141,4290,603000,6030,0,0,17700,177,354021,3690,178364,1860,0,0
112,413141,4290,607000,6070,0,0,17700,177,354021,3690,178364,1860,0,0
113,413141,4290,609000,6090,0,0,17700,177,354021,3690,178364,1860,0,0
114,413141,4290,610800,6108,0,0,17700,177,354021,3690,178364,1860,0,0
115,413141,4290,611600,6116,0,0,17700,177,354021,3690,178364,1860,0,0
116,413141,4290,612500,6125,0,0,17700,177,354021,3690,178364,1860,0,0
117,413141,4290,613200,6132,0,0,17700,177,354021,3690,178364,1860,0,0
118,413141,4290,613200,6132,0,0,17700,177,354021,3690,178364,1860,0,0
119,413141,4290,613400,6134,0,0,17700,177,354021,3690,178364,1860,0,0
120,413141,4290,613600,6136,0,0,17700,177,354021,3690,178364,1860,0,0
121,413141,4290,613600,6136,0,0,17700,177,354021,3690,178364,1860,0,0
122,413141,4290,613600,6136,0,0,17700,177,354021,3690,178364,1860,0,0
123,413141,4290,613600,6136,0,0,17700,177,354021,3690,178364,1860,0,0
124,413141,4290,613600,6136,0,0,17700,177,354021,3690,178364,1860,0,0
125,415887,4319,613699,6137,0,0,17700,177,356881,3721,178579,1863,0,0
126,419296,4355,613798,6138,0,0,17700,177,360315,3758,178887,1867,0,0
127,422321,4387,613897,6139,0,0,17700,177,363638,3794,179193,1871,0,0
128,425817,4424,613996,6140,0,0,17700,177,366680,3827,179402,1874,0,0
129,430493,4474,615680,6157,0,0,17700,177,372641,3892,179857,1880,0,0
130,436104,4534,616967,6170,0,0,17700,177,379265,3964,180214,1885,0,0
131,441400,4591,618452,6185,0,0,17700,177,385021,4027,180488,1889,0,0
132,446428,4645,620036,6201,0,0,17700,177,391527,4098,180917,1895,0,0
133,453371,4720,624886,6250,0,0,17700,177,399344,4184,181307,1901,0,0
134,462169,4815,630031,6302,0,0,17700,177,408302,4282,181770,1908,0,0
135,470303,4903,636461,6367,0,0,17700,177,417042,4378,182150,1914,0,0
136,478263,4989,641696,6420,0,0,17700,177,425198,4468,182619,1921,0,0
137,486834,5082,652076,6525,0,0,17700,177,436132,4588,182988,1927,0,0
138,497731,5200,662744,6633,0,0,17700,177,447727,4715,183352,1933,0,0
139,507979,5311,673899,6746,0,0,17700,177,459303,4842,183710,1939,0,0
140,519268,5434,685144,6860,0,0,17700,177,470306,4963,184063,1945,0,0
141,531551,5567,695489,6965,0,0,17700,177,480571,5077,184410,1951,0,0
142,542327,5684,707505,7087,0,0,17700,177,492123,5204,184752,1957,0,0
143,553285,5803,720206,7216,0,0,17700,177,503584,5331,185088,1963,0,0
144,563938,5919,730912,7325,0,0,17700,177,514852,5456,185419,1969,0,0
145,574501,6034,742311,7441,0,0,17700,177,525229,5571,185745,1975,0,0
146,585208,6151,754183,7562,0,0,17700,177,536300,5695,186067,1981,0,0
147,594812,6256,766033,7683,0,0,17700,177,546320,5807,186383,1987,0,0
148,604674,6364,777596,7801,0,0,17700,177,558459,5942,186694,1993,0,0
149,614992,6477,789049,7918,0,0,17700,177,569372,6064,187000,1999,0,0
150,623007,6565,798940,8019,0,0,17700,177,580529,6189,187301,2005,0,0
151,632121,6665,808915,8121,0,0,17700,177,590552,6302,187597,2011,0,0
152,639301,6744,820744,8242,0,0,17700,177,602042,6431,187888,2017,0,0
153,645871,6817,830589,8343,0,0,17700,177,612593,6550,188175,2023,0,0
154,652594,6891,840549,8445,0,0,17700,177,623574,6674,188458,2029,0,0
155,658414,6956,851870,8561,0,0,17700,177,634743,6800,188736,2035,0,0
156,664299,7021,864293,8688,0,0,17700,177,644768,6913,189008,2041,0,0
157,670021,7084,884198,8891,0,0,17700,177,653741,7015,189695,2051,0,0
158,675026,7139,895719,9009,0,0,17700,177,661257,7100,189980,2056,0,0
159,679640,7190,907989,9135,0,0,17700,177,669443,7193,190358,2062,0,0
160,683703,7235,919410,9252,0,0,17700,177,676878,7278,190542,2066,0,0
161,686802,7269,941428,9477,0,0,17700,177,682654,7343,191300,2076,0,0
162,691096,7316,949647,9561,0,0,17700,177,687518,7398,191443,2079,0,0
163,693905,7347,961294,9680,0,0,17700,177,692371,7453,191584,2082,0,0
164,696473,7375,970496,9774,0,0,17700,177,697302,7509,191723,2085,0,0
165,699153,7404,990367,9977,0,0,17700,177,700289,7542,192139,2090,0,0
166,702363,7439,997321,10048,0,0,17700,177,702239,7564,192139,2090,0,0
167,704474,7462,1003105,10107,0,0,17700,177,705109,7596,192139,2090,0,0
168,708119,7501,1008599,10163,0,0,17700,177,707609,7624,192139,2090,0,0
169,710697,7529,1021618,10296,0,0,17700,177,707795,7626,192234,2091,0,0
170,713672,7561,1026036,10341,0,0,17700,177,707795,7626,192234,2091,0,0
171,715441,7580,1030077,10382,0,0,17700,177,707795,7626,192234,2091,0,0
172,717285,7600,1034997,10432,0,0,17700,177,707795,7626,192234,2091,0,0
173,719152,7620,1037853,10461,0,0,17700,177,707795,7626,192234,2091,0,0
174,721204,7642,1040410,10487,0,0,17700,177,707795,7626,192234,2091,0,0
175,722586,7657,1043366,10517,0,0,17700,177,707795,7626,192234,2091,0,0
176,723884,7671,1045928,10543,0,0,17700,177,707795,7626,192234,2091,0,0
177,725800,7692,1048095,10565,0,0,17700,177,707795,7626,192234,2091,0,0
178,727099,7706,1050652,10591,0,0,17700,177,707795,7626,192234,2091,0,0
179,728945,7726,1053597,10621,0,0,17700,177,707795,7626,192234,2091,0,0
180,729958,7737,1055368,10639,0,0,17700,177,707795,7626,192234,2091,0,0
181,730786,7746,1056839,10654,0,0,17700,177,707795,7626,192234,2091,0,0
182,731616,7755,1058510,10671,0,0,17700,177,707795,7626,192234,2091,0,0
183,732279,7762,1061165,10698,0,0,17700,177,707795,7626,192234,2091,0,0
184,732661,7766,1064009,10727,0,0,17700,177,707795,7626,192234,2091,0,0
185,733218,7772,1067545,10763,0,0,17700,177,707795,7626,192329,2092,0,0
186,733596,7776,1072172,10810,0,0,17700,177,707795,7626,192329,2092,0,0
187,734156,7782,1074617,10835,0,0,17700,177,707795,7626,192329,2092,0,0
188,734526,7786,1078553,10875,0,0,17700,177,707795,7626,192329,2092,0,0
189,734903,7790,1082695,10917,0,0,17700,177,707795,7626,192329,2092,0,0
190,735177,7793,1087703,10968,0,0,17700,177,707795,7626,192329,2092,0,0
191,735628,7798,1092823,11020,0,0,17700,177,707795,7626,192329,2092,0,0
192,735721,7799,1096467,11057,0,0,17700,177,707795,7626,192329,2092,0,0
193,736097,7803,1099422,11087,0,0,17700,177,707795,7626,192329,2092,0,0
194,736376,7806,1102671,11120,0,0,17700,177,707795,7626,192329,2092,0,0
195,736649,7809,1105521,11149,0,0,17700,177,707795,7626,192329,2092,0,0
196,737024,7813,1108965,11184,0,0,17700,177,707795,7626,192329,2092,0,0
197,737487,7818,1111228,11207,0,0,17700,177,707795,7626,192329,2092,0,0
198,737678,7820,1114187,11237,0,0,17700,177,707795,7626,192329,2092,0,0
199,738139,7825,1116358,11259,0,0,17700,177,707795,7626,192329,2092,0,0
200,738230,7826,1118330,11279,0,0,17700,177,707795,7626,192329,2092,0,0
201,738325,7827,1120299,11299,0,0,17700,177,707795,7626,192329,2092,0,0
202,738422,7828,1121287,11309,0,0,17700,177,707795,7626,192329,2092,0,0
203,738422,7828,1121781,11314,0,0,17700,177,707795,7626,192329,2092,0,0
204,738422,7828,1122572,11322,0,0,17700,177,707795,7626,192329,2092,0,0
205,738422,7828,1123659,11333,0,0,17700,177,707795,7626,192329,2092,0,0
206,738422,7828,1124351,11340,0,0,17700,177,707795,7626,192329,2092,0,0
207,738513,7829,1124843,11345,0,0,17700,177,707795,7626,192329,2092,0,0
208,738604,7830,1125237,11349,0,0,17700,177,707795,7626,192329,2092,0,0
209,738604,7830,1125631,11353,0,0,17700,177,707795,7626,192329,2092,0,0
210,738604,7830,1125730,11354,0,0,17700,177,707795,7626,192329,2092,0,0
211,738696,7831,1125828,11355,0,0,17700,177,707795,7626,192329,2092,0,0
212,738696,7831,1125927,11356,0,0,17700,177,707795,7626,192329,2092,0,0
213,738793,7832,1125927,11356,0,0,17700,177,707795,7626,192329,2092,0,0
214,738886,7833,1126026,11357,0,0,17700,177,707795,7626,192329,2092,0,0
215,738886,7833,1126224,11359,0,0,17700,177,707795,7626,192329,2092,0,0
216,738886,7833,1126224,11359,0,0,17700,177,707795,7626,192329,2092,0,0
217,738886,7833,1126323,11360,0,0,17700,177,707795,7626,192329,2092,0,0
218,738974,7834,1126323,11360,0,0,17700,177,707795,7626,192329,2092,0,0
219,738974,7834,1126323,11360,0,0,17700,177,707795,7626,192329,2092,0,0
220,738974,7834,1126323,11360,0,0,17700,177,707795,7626,192329,2092,0,0
221,738974,7834,1126508,11362,0,0,17700,177,710027,7652,192404,2094,0,0
222,738974,7834,1126889,11366,0,0,17700,177,713808,7695,192477,2096,0,0
223,738974,7834,1127266,11370,0,0,17700,177,717187,7734,192548,2098,0,0
224,738974,7834,1127552,11373,0,0,17700,177,720133,7768,192617,2100,0,0
225,738974,7834,1132431,11424,0,0,17700,177,725176,7827,192719,2103,0,0
226,738974,7834,1137689,11479,0,0,17700,177,731101,7896,192818,2106,0,0
227,738974,7834,1144199,11547,0,0,17700,177,737004,7965,192914,2109,0,0
228,738974,7834,1152495,11634,0,0,17700,177,742918,8034,193007,2112,0,0
229,738974,7834,1164667,11761,0,0,17700,177,750458,8123,193234,2118,0,0
230,738974,7834,1179390,11915,0,0,17700,177,758233,8214,193457,2124,0,0
231,738974,7834,1192512,12053,0,0,17700,177,766856,8315,193613,2129,0,0
232,738974,7834,1210372,12241,0,0,17700,177,775084,8412,193890,2136,0,0
233,738974,7834,1231793,12466,0,0,17700,177,784792,8526,194099,2142,0,0
234,738974,7834,1252804,12687,0,0,17700,177,795763,8655,194240,2147,0,0
235,738974,7834,1275877,12930,0,0,17778,178,805095,8765,194378,2152,0,0
236,739066,7835,1299366,13178,0,0,17855,179,815927,8891,194511,2157,0,0
237,739159,7836,1317697,13373,0,0,18006,181,826544,9017,194642,2162,0,0
238,739159,7836,1337160,13580,0,0,18376,186,836761,9138,194769,2167,0,0
239,739429,7839,1355097,13771,0,0,18741,191,847562,9265,194892,2172,0,0
240,739896,7844,1370333,13934,0,0,19101,196,857563,9384,195012,2177,0,0
241,740164,7847,1385289,14094,0,0,19526,202,868102,9509,195130,2182,0,0
242,740529,7851,1396521,14215,0,0,19945,208,878594,9634,195245,2187,0,0
243,740998,7856,1407936,14338,0,0,20358,214,888284,9750,195358,2192,0,0
244,741441,7861,1417397,14440,0,0,20969,223,899019,9878,195468,2197,0,0
245,742162,7869,1425428,14527,0,0,21572,232,909499,10003,195577,2202,0,0
246,743059,7879,1433179,14611,0,0,22166,241,919491,10123,195684,2207,0,0
247,743682,7886,1440254,14688,0,0,22751,250,929905,10247,195789,2212,0,0
248,744493,7895,1445188,14742,0,0,23327,259,939485,10363,195893,2217,0,0
249,745229,7903,1450071,14795,0,0,23956,269,949949,10489,195995,2222,0,0
250,745932,7911,1455067,14849,0,0,24575,279,959829,10609,196096,2227,0,0
251,746708,7920,1459186,14894,0,0,25184,289,970100,10733,196196,2232,0,0
252,747348,7927,1462555,14930,0,0,25784,299,979888,10851,196296,2237,0,0
253,747935,7934,1486337,15181,0,0,26139,305,988399,10954,196545,2243,0,0
254,748209,7937,1489011,15210,0,0,26488,311,995289,11037,196605,2246,0,0
255,748656,7942,1490227,15223,0,0,26831,317,1002119,11121,196665,2249,0,0
256,749119,7947,1492298,15245,0,0,27168,323,1009597,11212,196725,2252,0,0
257,749385,7950,1516920,15505,0,0,27389,327,1014888,11275,197080,2259,0,0
258,749563,7952,1518971,15527,0,0,27606,331,1019874,11335,197120,2261,0,0
259,749750,7954,1520124,15539,0,0,27819,335,1024007,11385,197160,2263,0,0
260,750023,7957,1521064,15549,0,0,28028,339,1028802,11443,197200,2265,0,0
261,750511,7963,1543288,15786,0,0,28028,339,1031205,11471,197572,2271,0,0
262,750608,7964,1543847,15792,0,0,28028,339,1033869,11503,197572,2271,0,0
263,750608,7964,1544687,15801,0,0,28028,339,1036506,11534,197572,2271,0,0
264,750608,7964,1545361,15808,0,0,28028,339,1038152,11554,197572,2271,0,0
265,750608,7964,1561195,15977,0,0,28028,339,1038857,11562,197572,2271,0,0
266,750608,7964,1561583,15981,0,0,28028,339,1038857,11562,197572,2271,0,0
267,750608,7964,1562060,15986,0,0,28028,339,1038857,11562,197572,2271,0,0
268,750608,7964,1562440,15990,0,0,28028,339,1038857,11562,197572,2271,0,0
269,750608,7964,1563111,15997,0,0,28028,339,1038857,11562,197572,2271,0,0
270,750608,7964,1563594,16002,0,0,28028,339,1038857,11562,197572,2271,0,0
271,750608,7964,1564363,16010,0,0,28028,339,1038857,11562,197572,2271,0,0
272,750703,7965,1565119,16018,0,0,28028,339,1038857,11562,197572,2271,0,0
273,750703,7965,1566257,16030,0,0,28028,339,1038857,11562,197572,2271,0,0
274,750703,7965,1567196,16040,0,0,28028,339,1038857,11562,197572,2271,0,0
275,750893,7967,1568322,16052,0,0,28028,339,1038857,11562,197572,2271,0,0
276,751078,7969,1570974,16080,0,0,28028,339,1038857,11562,197572,2271,0,0
277,751450,7973,1574870,16121,0,0,28028,339,1038857,11562,197572,2271,0,0
278,751809,7977,1578206,16156,0,0,28028,339,1038857,11562,197572,2271,0,0
279,752067,7980,1581989,16196,0,0,28028,339,1038857,11562,197572,2271,0,0
280,752246,7982,1586273,16241,0,0,28028,339,1038857,11562,197572,2271,0,0
281,752334,7983,1592363,16305,0,0,28028,339,1038857,11562,197572,2271,0,0
282,752941,7990,1597960,16364,0,0,28028,339,1038857,11562,197572,2271,0,0
283,753287,7994,1605092,16439,0,0,28028,339,1038857,11562,197572,2271,0,0
284,753460,7996,1615015,16543,0,0,28028,339,1038857,11562,197572,2271,0,0
285,753737,7999,1622940,16627,0,0,28028,339,1038857,11562,197572,2271,0,0
286,754375,8006,1632647,16730,0,0,28028,339,1038857,11562,197572,2271,0,0
287,754560,8008,1643783,16848,0,0,28028,339,1038857,11562,197572,2271,0,0
288,754650,8009,1655071,16968,0,0,28028,339,1038857,11562,197572,2271,0,0
289,755021,8013,1666747,17091,0,0,28028,339,1038857,11562,197572,2271,0,0
290,755021,8013,1672954,17157,0,0,28028,339,1038857,11562,197572,2271,0,0
291,755021,8013,1680330,17236,0,0,28028,339,1038857,11562,197572,2271,0,0
292,755021,8013,1687309,17311,0,0,28028,339,1038857,11562,197572,2271,0,0
293,755118,8014,1695208,17395,0,0,28028,339,1038857,11562,197572,2271,0,0
294,755118,8014,1702819,17476,0,0,28028,339,1038857,11562,197572,2271,0,0
295,755209,8015,1711568,17569,0,0,28028,339,1038857,11562,197572,2271,0,0
296,755209,8015,1717676,17634,0,0,28028,339,1038857,11562,197572,2271,0,0
297,755209,8015,1722861,17689,0,0,28028,339,1038857,11562,197572,2271,0,0
298,755209,8015,1728608,17750,0,0,28028,339,1038857,11562,197572,2271,0,0
299,755209,8015,1733838,17805,0,0,28028,339,1038857,11562,197572,2271,0,0
300,755209,8015,1737807,17847,0,0,28028,339,1038857,11562,197572,2271,0,0
301,755209,8015,1742546,17897,0,0,28028,339,1038857,11562,197572,2271,0,0
302,755209,8015,1745797,17931,0,0,28028,339,1038857,11562,197572,2271,0,0
303,755209,8015,1749297,17968,0,0,28028,339,1038857,11562,197572,2271,0,0
304,755209,8015,1752448,18001,0,0,28028,339,1038857,11562,197572,2271,0,0
305,755209,8015,1755466,18033,0,0,28028,339,1038857,11562,197572,2271,0,0
306,755209,8015,1759077,18071,0,0,28028,339,1038857,11562,197572,2271,0,0
307,755209,8015,1761161,18093,0,0,28028,339,1038857,11562,197572,2271,0,0
308,755209,8015,1763912,18122,0,0,28028,339,1038857,11562,197572,2271,0,0
309,755209,8015,1765992,18144,0,0,28028,339,1038857,11562,197572,2271,0,0
310,755209,8015,1768150,18167,0,0,28028,339,1038857,11562,197572,2271,0,0
311,755306,8016,1770122,18188,0,0,28028,339,1038857,11562,197572,2271,0,0
312,755306,8016,1772471,18213,0,0,28028,339,1038857,11562,197572,2271,0,0
313,755306,8016,1774079,18230,0,0,28028,339,1038857,11562,197572,2271,0,0
314,755306,8016,1775880,18249,0,0,28028,339,1038857,11562,197572,2271,0,0
315,755306,8016,1777877,18270,0,0,28028,339,1038857,11562,197572,2271,0,0
316,755306,8016,1779205,18284,0,0,28028,339,1038857,11562,197572,2271,0,0
317,755306,8016,1783389,18331,0,0,28263,343,1041105,11590,197612,2273,0,0
318,755306,8016,1788198,18385,0,0,28494,347,1043964,11625,197652,2275,0,0
319,755402,8017,1792394,18432,0,0,28721,351,1047093,11663,197692,2277,0,0
320,755498,8018,1795940,18472,0,0,28944,355,1050564,11705,197732,2279,0,0
321,755498,8018,1801342,18533,0,0,29273,361,1055099,11762,197792,2282,0,0
322,755498,8018,1807235,18599,0,0,29596,367,1059749,11820,197852,2285,0,0
323,755498,8018,1811730,18650,0,0,29913,373,1065507,11892,197912,2288,0,0
324,755498,8018,1818238,18723,0,0,30171,378,1071177,11962,197972,2291,0,0
325,755498,8018,1823495,18783,0,0,30734,389,1077405,12041,198072,2296,0,0
326,755593,8019,1830186,18858,0,0,31234,399,1085378,12140,198172,2301,0,0
327,755593,8019,1836435,18928,0,0,31724,409,1093281,12239,198272,2306,0,0
328,755593,8019,1840978,18979,0,0,32205,419,1100335,12328,198372,2311,0,0
329,755593,8019,1847164,19049,0,0,32676,429,1108499,12431,198472,2316,0,0
330,755593,8019,1852986,19115,0,0,33137,439,1118584,12556,198572,2321,0,0
331,755593,8019,1858067,19172,0,0,33588,449,1128391,12678,198672,2326,0,0
332,755685,8020,1863885,19238,0,0,33984,458,1137278,12789,198772,2331,0,0
333,755685,8020,1867837,19283,0,0,34460,469,1146224,12902,198832,2334,0,0
334,755966,8023,1872317,19333,0,0,34881,479,1155438,13018,198972,2341,0,0
335,755966,8023,1877091,19386,0,0,35250,488,1163948,13126,199072,2346,0,0
336,755966,8023,1880264,19422,0,0,35693,499,1174304,13255,199172,2351,0,0
337,755966,8023,1883769,19461,0,0,36084,509,1182741,13362,199272,2356,0,0
338,756063,8024,1887645,19504,0,0,36466,519,1190493,13461,199372,2361,0,0
339,756063,8024,1890760,19538,0,0,36839,529,1199278,13574,199472,2366,0,0
340,756158,8025,1895169,19587,0,0,37202,539,1208450,13690,199572,2371,0,0
341,756537,8029,1899600,19636,0,0,37556,549,1217469,13804,199672,2376,0,0
342,756632,8030,1904280,19687,0,0,37901,559,1227265,13929,199752,2380,0,0
343,757006,8034,1907372,19721,0,0,38236,569,1235315,14033,199872,2386,0,0
344,757101,8035,1911101,19762,0,0,38561,579,1244294,14148,199972,2391,0,0
345,757101,8035,1914088,19795,0,0,38876,589,1252633,14256,200072,2396,0,0
346,757289,8037,1916971,19827,0,0,39181,599,1259810,14351,200172,2401,0,0
347,757386,8038,1919753,19858,0,0,39476,609,1267116,14447,200272,2406,0,0
348,757481,8039,1921845,19882,0,0,39761,619,1273495,14533,200352,2410,0,0
349,757576,8040,1939956,20087,0,0,39928,625,1281516,14637,200412,2413,0,0
350,757857,8043,1942946,20120,0,0,40089,631,1291080,14757,200472,2416,0,0
351,757857,8043,1945299,20146,0,0,40244,637,1300290,14876,200552,2420,0,0
352,757857,8043,1947530,20171,0,0,40393,643,1307930,14974,200612,2423,0,0
353,758139,8046,1965392,20373,0,0,40488,647,1317762,15097,200652,2425,0,0
